card_id,field,locale,global_text,current_text,translated_text,status
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,ga,What shape is this?,Select the correct shape:,Cén cruth atá air seo?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,mt,What shape is this?,X'forma hi din?,X'forma hija din?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,uk,What shape is this?,Яка це фігура?,Що це за форма?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,answer,hi,Semi-circle,अर्धवृत्त,अर्द्ध वृत्त,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,answer,lt,Semi-circle,Pusapskritimis,Puslankis,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,answer,mt,Semi-circle,Nofs ċirku,Semi-ċirku,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,answer,sk,Semi-circle,Polkruh,Polkruhový,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,answer,tl,Semi-circle,Semisirkulo,kalahating bilog,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,ga,What shape is this?,Select the correct shape:,Cén cruth atá air seo?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,mt,What shape is this?,X'forma hi din?,X'forma hija din?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,uk,What shape is this?,Яка це фігура?,Що це за форма?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,bg,Oval,Овал,Овални,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,el,Oval,Οβάλ,Ωοειδής,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,es,Oval,Óvalo,Oval,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,et,Oval,Ovaal,Ovaalne,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,fi,Oval,Ovaali,Soikea,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,hr,Oval,Oval,Ovalni,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,id,Oval,Oval,Bulat telur,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,ja,Oval,楕円,楕円形,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,lt,Oval,Ovalas,Ovalus,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,pl,Oval,Owal,Owalny,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,pt,Oval,Óvalo,Oval,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,sk,Oval,Ovál,Oválny,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,sl,Oval,Oval,Ovalna,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,answer,uk,Oval,Овал,Овальний,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,ga,What shape is this?,Select the correct shape:,Cén cruth atá air seo?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,mt,What shape is this?,X'forma hi din?,X'forma hija din?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,uk,What shape is this?,Яка це фігура?,Що це за форма?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,ar,Diamond,معين,الماس,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,bg,Diamond,Ромб,Диамант,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,cs,Diamond,Kosočtverec,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,da,Diamond,Rombe,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,de,Diamond,Raute,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,el,Diamond,Ρόμβος,Διαμάντι,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,et,Diamond,Romb,Teemant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,es,Diamond,Rombo,Diamante,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,fr,Diamond,Losange,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,fi,Diamond,Vinoneliö,Timantti,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,hi,Diamond,हीरा,डायमंड,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,hr,Diamond,Romb,Dijamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,hu,Diamond,Rombusz,Gyémánt,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,id,Diamond,Belah ketupat,Berlian,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,ja,Diamond,菱形,ダイヤモンド,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,ko,Diamond,마름모,다이아몬드,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,lt,Diamond,Rombas,Deimantas,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,mt,Diamond,Rombu,Djamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,nl,Diamond,Ruit,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,it,Diamond,Rombo,Diamante,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,pl,Diamond,Romb,Diament,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,pt,Diamond,Losango,Diamante,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,ro,Diamond,Romb,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,sl,Diamond,Romb,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,tl,Diamond,Rombo,brilyante,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,tr,Diamond,Eşkenar dörtgen,Elmas,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,sv,Diamond,Romb,Diamant,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,uk,Diamond,Ромб,діамант,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,vi,Diamond,Hình thoi,Kim cương,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,lv,Diamond,Rombs,Dimants,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,sk,Diamond,Kosoštvorec,Diamantový,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,ga,What shape is this?,Select the correct shape:,Cén cruth atá air seo?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,mt,What shape is this?,X'forma hi din?,X'forma hija din?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,uk,What shape is this?,Яка це фігура?,Що це за форма?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,answer,hi,Circle,वृत्त,घेरा,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,answer,ja,Circle,円,丸,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,answer,vi,Circle,Hình tròn,Vòng tròn,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,ga,What shape is this?,Select the correct shape:,Cén cruth atá air seo?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,mt,What shape is this?,X'forma hi din?,X'forma hija din?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,uk,What shape is this?,Яка це фігура?,Що це за форма?,mismatch
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,da,Octagon,Ottekant,Oktagon,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,hi,Octagon,अष्टकोण,अष्टकोना,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,id,Octagon,Oktagon,Segi delapan,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,ja,Octagon,八角形,オクタゴン,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,sl,Octagon,Osemkotnik,Osmerokotnik,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,tl,Octagon,Oktagon,Octagon,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,answer,sv,Octagon,Oktagon,Oktogon,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,ga,What shape is this?,Select the correct shape:,Cén cruth atá air seo?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,mt,What shape is this?,X'forma hi din?,X'forma hija din?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,uk,What shape is this?,Яка це фігура?,Що це за форма?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,cs,Pentagon,Pětiúhelník,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,ar,Pentagon,مخمس,البنتاغون,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,bg,Pentagon,Петоъгълник,Пентагон,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,de,Pentagon,Fünfeck,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,fi,Pentagon,Viisikulmio,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,da,Pentagon,Femkant,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,hu,Pentagon,Ötszög,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,id,Pentagon,Pentagon,Segi lima,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,lt,Pentagon,Penkiakampis,Pentagonas,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,nl,Pentagon,Vijfhoek,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,lv,Pentagon,Piecstūris,Pentagons,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,sk,Pentagon,Päťuholník,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,sv,Pentagon,Femhörning,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,tr,Pentagon,Beşgen,Pentagon,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
970f8dcc-fa84-4124-aa7b-5541bdafdaab,answer,vi,Pentagon,Hình ngũ giác,Lầu Năm Góc,mismatch
